mjd,rv,rv_err
52944.376672,-77.43,59.87
52993.188574,39.68,28.94
53048.602259,-154.64,34.06
53775.641184,-9.07,149.54
54056.325773,20.93,106.71
54112.579919,-99.04,247.39
54441.746852,-191.08,148.94
54483.110698,-92.49,135.89
54544.046717,-76.74,16.72
54780.215069,-70.24,24.16
54799.213508,-71.54,25.3
54829.165935,-202.14,27.49
54850.142609,-130.78,22.24
54913.040806,-84.29,18.44
55131.298795,2.44,26.38
55170.202032,18.54,22.49
55519.296681,37.59,30.68
55566.194698,148.72,14.54
55597.126002,85.8,19.28
56569.311461,129.29,41.54
56582.333626,95.49,28.91
56685.203668,24.62,32.8
56694.067479,91.6,27.58
56706.582371,198.96,23.64
56984.282332,-15.44,20.36
57344.247022,-148.18,55.92
57667.303333,106.83,22.29
57712.283914,128.33,21.42
57771.166012,81.24,8.54
57849.01445,151.55,25.0
58007.347048,3.42,21.9
58037.271945,37.74,7.34
58064.265248,-62.63,24.2
58094.192294,-35.32,6.94
58207.056451,-32.82,11.04
58235.001291,-70.57,7.73
